"id","name"
"Ctg_00",".NET"
"Ctg_01","Administrator"
"Ctg_02","Android/Blackberry"
"Ctg_03","Business Analyst"
"Ctg_04","C++"
"Ctg_05","ColdFusion"
"Ctg_06","Designer (UI/UX)"
"Ctg_07","Drupal"
"Ctg_08","Data Scientist"
"Ctg_09","HTML/CSS"
"Ctg_10","IOS"
"Ctg_11","Java"
"Ctg_12","Java Script"
"Ctg_13","Joomla"
"Ctg_14","Mobile Common"
"Ctg_15","Perl"
"Ctg_16","PHP"
"Ctg_17","Python"
"Ctg_18","QA"
"Ctg_19","Ruby/por"
"Ctg_20","Recruiter"
"Ctg_21","Sitecore"
"Ctg_22","WinPhone8"
"Ctg_23","Front-End"
"Ctg_24","SEO"
"Ctg_25","Маркетолог "
"Ctg_26","Sales manager "
"Ctg_27","CopyWriter"
"Ctg_28","loyer "
"Ctg_29","Project Manager"
"Ctg_30","Product Manager"
