"id","name"
"Ct_00",".NET"
"Ct_01","Administrator"
"Ct_02","Android/Blackberry"
"Ct_03","Business Analyst"
"Ct_04","C++"
"Ct_05","ColdFusion"
"Ct_06","Designer (UI/UX)"
"Ct_07","Drupal"
"Ct_08","Data Scientist"
"Ct_09","HTML/CSS"
"Ct_10","IOS"
"Ct_11","Java"
"Ct_12","Java Script"
"Ct_13","Joomla"
"Ct_14","Mobile Common"
"Ct_15","Perl"
"Ct_16","PHP"
"Ct_17","Python"
"Ct_18","QA"
"Ct_19","Ruby/por"
"Ct_20","Recruiter"
"Ct_21","Sitecore"
"Ct_22","WinPhone8"
"Ct_23","Front-End"
"Ct_24","SEO"
"Ct_25","Маркетолог "
"Ct_26","Sales manager "
"Ct_27","CopyWriter"
"Ct_28","loyer "
"Ct_29","Project Manager"
"Ct_30","Product Manager"
